partId,bomId
20020332,4843cdee:1840acc7dbd:-2e9f
20020332,5a0534e6:18382c3d3fe:-1b7d
20020332,5a0534e6:18382c3d3fe:-27ee
20020332,5a0534e6:18382c3d3fe:dc0
20020333,-37026512:18cee4f8516:4e1c
20020333,-37026512:18cee4f8516:5300
20020333,-43d815b2:182ca31d95b:7611
20020333,-43d815b2:182ca31d95b:7abf
20020333,-43d815b2:182ca328636:-66f0
20020333,-43d815b2:182ca328636:-6c10
20020333,-43d815b2:182ca328636:-712e
20020333,-43d815b2:182ca328636:-764c
20020333,-43d815b2:182ca328636:-7b6c
20020333,-75dd00fe:1916e2c15db:3d9d
20020333,-75dd00fe:1916e2c15db:4288
20020333,-75dd00fe:1916e2c15db:4776
20020333,-75dd00fe:1916e2c15db:4e36
20020333,-75dd00fe:1916e2c15db:524a
20020333,-75dd00fe:1916e2c15db:5ef2
20020333,-75dd00fe:1916e2c15db:62a0
20020333,-f717141:182cd385f4b:db4
20020333,4843cdee:1840acc7dbd:-2e9e
20020333,5a0534e6:18382c3d3fe:-27ed
20020334,-43d815b2:182ca31d95b:75fe
20020334,-43d815b2:182ca31d95b:7aac
20020334,-75dd00fe:1916e2c15db:3d9e
20020334,-75dd00fe:1916e2c15db:4289
20020334,-75dd00fe:1916e2c15db:4777
20020334,-f717141:182cd385f4b:da1
20020334,5a0534e6:18382c3d3fe:-2800
20020335,-43d815b2:182ca31d95b:7601
20020335,-43d815b2:182ca31d95b:7aaf
20020335,-75dd00fe:1916e2c15db:3da1
20020335,-75dd00fe:1916e2c15db:428c
20020335,-75dd00fe:1916e2c15db:477a
20020335,-f717141:182cd385f4b:da4
20020335,5a0534e6:18382c3d3fe:-27fd
20020336,-43d815b2:182ca31d95b:7604
20020336,-43d815b2:182ca31d95b:7607
20020336,-43d815b2:182ca31d95b:7ab2
20020336,-43d815b2:182ca31d95b:7ab5
20020336,-75dd00fe:1916e2c15db:3da4
20020336,-75dd00fe:1916e2c15db:3da7
20020336,-75dd00fe:1916e2c15db:428f
20020336,-75dd00fe:1916e2c15db:4292
20020336,-75dd00fe:1916e2c15db:477d
20020336,-75dd00fe:1916e2c15db:4780
20020336,-f717141:182cd385f4b:da7
20020336,-f717141:182cd385f4b:daa
20020336,5a0534e6:18382c3d3fe:-27f7
20020336,5a0534e6:18382c3d3fe:-27fa
20020338,-43d815b2:182ca31d95b:1a4e
20020338,5a0534e6:18382c3d3fe:-39be
20020340,-43d815b2:182ca31d95b:39be
20020340,-43d815b2:182ca31d95b:3d4a
20020340,-43d815b2:182ca31d95b:40f4
20020340,-43d815b2:182ca31d95b:4460
20020341,-43d815b2:182ca31d95b:39b4
20020341,-43d815b2:182ca31d95b:3d40
20020341,-43d815b2:182ca31d95b:40ea
20020341,-43d815b2:182ca31d95b:4456
20020368,-48bb7690:1889a3e87cf:-6fe3
20020368,-48bb7690:1889a3e87cf:-7c13
20020368,5a0534e6:18382c3d3fe:2192
20020369,-48bb7690:1889a3e87cf:-6fe2
20020369,-48bb7690:1889a3e87cf:-7c12
20020369,5a0534e6:18382c3d3fe:2193
20020381,-43d815b2:182ca328636:-5ec4
20020381,5a0534e6:18382c3d3fe:-1b8f
20020381,5a0534e6:18382c3d3fe:dae
20020382,-43d815b2:182ca328636:-5ec1
20020382,5a0534e6:18382c3d3fe:-1b8c
